date,ticker,open,high,low,close,volume
2023-06-21,0005.HK,173.85,178.2,171.83,175.08,97021525
2023-06-22,0005.HK,178.31,181.55,174.27,177.09,42067130
2023-06-23,0005.HK,175.78,176.88,175.86,176.58,81477199
2023-06-26,0005.HK,176.71,180.2,172.63,174.96,77129754
2023-06-27,0005.HK,172.56,175.4,167.18,171.04,45603869
2023-06-28,0005.HK,172.61,178.87,171.84,173.9,23635637
2023-06-29,0005.HK,174.06,176.68,170.13,173.47,12242201
2023-06-30,0005.HK,173.03,175.13,171.26,172.43,52496186
2023-07-03,0005.HK,176.76,178.43,173.21,175.52,87788706
2023-07-04,0005.HK,172.86,173.89,168.14,173.19,75758588
2023-07-05,0005.HK,175.82,179.1,171.25,175.39,14500776
2023-07-06,0005.HK,174.5,178.06,174.04,176.21,39832160
2023-07-07,0005.HK,173.28,178.21,170.11,173.5,51884959
2023-07-10,0005.HK,174.32,175.4,171.37,173.34,86374007
2023-07-11,0005.HK,177.48,176.68,175.52,175.9,49719513
2023-07-12,0005.HK,177.18,180.49,177.93,178.04,49769191
2023-07-13,0005.HK,181.44,185.53,177.92,182.07,8510469
2023-07-14,0005.HK,181.67,183.73,178.37,183.03,14743890
2023-07-17,0005.HK,192.86,193.37,188.55,192.32,89782052
2023-07-18,0005.HK,189.61,193.5,184.99,189.7,20036612
2023-07-19,0005.HK,186.88,189.56,184.53,188.61,18524037
2023-07-20,0005.HK,186.92,189.16,185.43,188.47,21427038
2023-07-21,0005.HK,184.0,187.29,182.79,184.5,4891901
2023-07-24,0005.HK,188.55,190.95,182.26,187.42,87484283
2023-07-25,0005.HK,191.6,190.35,185.88,190.0,80813926
2023-07-26,0005.HK,191.04,191.14,185.58,190.09,37676738
2023-07-27,0005.HK,188.55,192.1,185.04,188.61,46790936
2023-07-28,0005.HK,185.33,184.62,180.28,184.41,71621609
2023-07-31,0005.HK,183.71,185.07,179.71,182.27,11610029
2023-08-01,0005.HK,184.14,187.28,180.15,184.34,27655079
2023-08-02,0005.HK,183.34,183.9,180.05,183.79,21933352
2023-08-03,0005.HK,182.02,183.3,182.05,182.65,59765652
2023-08-04,0005.HK,184.72,188.42,181.29,184.06,9605108
2023-08-07,0005.HK,187.43,190.59,185.86,187.29,43734295
2023-08-08,0005.HK,186.65,189.65,184.46,188.05,64945806
2023-08-09,0005.HK,189.25,191.0,188.9,188.98,60971707
2023-08-10,0005.HK,191.89,193.49,188.0,192.9,25349815
2023-08-11,0005.HK,192.14,194.53,189.3,193.45,18163985
2023-08-14,0005.HK,194.12,193.06,189.84,192.59,41629285
2023-08-15,0005.HK,196.45,195.23,191.06,194.58,96977572
2023-08-16,0005.HK,195.28,198.62,189.55,193.87,17917871
2023-08-17,0005.HK,193.48,198.21,190.27,192.83,57589656
2023-08-18,0005.HK,195.69,201.09,191.76,196.56,33044244
2023-08-21,0005.HK,195.44,198.72,191.29,195.74,12368845
2023-08-22,0005.HK,188.39,189.61,185.62,187.98,16281908
2023-08-23,0005.HK,188.92,192.01,183.61,188.99,34323823
2023-08-24,0005.HK,186.53,188.26,187.85,187.91,32913030
2023-08-25,0005.HK,188.29,188.56,185.34,187.13,76262558
2023-08-28,0005.HK,188.8,191.1,185.11,188.44,35537958
2023-08-29,0005.HK,189.62,192.69,187.81,188.01,13305425
2023-08-30,0005.HK,189.52,193.96,184.02,188.65,7583130
2023-08-31,0005.HK,183.85,186.12,182.1,182.97,14837465
2023-09-01,0005.HK,181.48,181.51,175.89,180.41,17262313
2023-09-04,0005.HK,185.41,187.93,181.61,184.25,36524217
2023-09-05,0005.HK,185.63,186.4,183.22,184.24,44474355
2023-09-06,0005.HK,179.21,182.14,175.88,179.65,75013328
2023-09-07,0005.HK,176.8,178.02,176.26,176.79,39005230
2023-09-08,0005.HK,174.35,178.93,172.23,174.2,12572906
2023-09-11,0005.HK,176.03,177.78,171.02,174.5,14787935
2023-09-12,0005.HK,174.42,176.63,170.97,173.4,89495365
2023-09-13,0005.HK,172.71,172.5,168.18,171.72,25600424
2023-09-14,0005.HK,172.6,171.94,169.55,171.77,76483409
2023-09-15,0005.HK,174.33,174.81,172.1,173.03,11952541
2023-09-18,0005.HK,173.59,173.05,169.28,172.39,79932241
2023-09-19,0005.HK,169.74,172.12,169.52,170.94,72283617
2023-09-20,0005.HK,170.37,173.43,167.56,169.9,25928106
2023-09-21,0005.HK,170.27,171.73,170.33,170.8,58755787
2023-09-22,0005.HK,170.47,173.18,170.54,170.81,16181788
2023-09-25,0005.HK,173.11,175.43,170.8,172.81,2792908
2023-09-26,0005.HK,171.13,174.61,167.65,169.86,69968431
2023-09-27,0005.HK,169.34,171.49,163.65,167.92,58052547
2023-09-28,0005.HK,170.27,172.07,168.56,169.9,93502334
2023-09-29,0005.HK,169.32,170.17,163.43,167.89,98499278
2023-10-02,0005.HK,172.58,172.05,171.01,171.41,87119739
2023-10-03,0005.HK,175.13,178.17,171.9,175.06,6421402
2023-10-04,0005.HK,178.16,183.06,173.41,178.75,34016417
2023-10-05,0005.HK,176.07,179.27,176.0,176.43,35288253
2023-10-06,0005.HK,176.12,180.57,173.76,176.67,23235877
2023-10-09,0005.HK,175.23,176.13,171.06,175.39,50338409
2023-10-10,0005.HK,177.57,182.74,174.45,177.86,58478246
2023-10-11,0005.HK,182.93,182.52,180.6,182.45,18625560
2023-10-12,0005.HK,186.58,185.7,181.63,184.87,9449617
2023-10-13,0005.HK,186.77,187.72,182.69,184.94,7640571
2023-10-16,0005.HK,184.88,185.12,183.4,183.96,21308824
2023-10-17,0005.HK,184.64,185.99,182.84,185.79,56919272
2023-10-18,0005.HK,180.83,186.66,179.42,182.42,52914636
2023-10-19,0005.HK,183.7,186.13,181.49,183.92,16368784
2023-10-20,0005.HK,180.28,186.12,181.14,181.43,37957622
2023-10-23,0005.HK,182.32,186.7,179.91,183.16,3513249
2023-10-24,0005.HK,181.5,186.68,180.88,182.75,3682503
2023-10-25,0005.HK,180.71,182.98,179.94,181.72,2951343
2023-10-26,0005.HK,177.93,183.65,174.93,179.35,65621864
2023-10-27,0005.HK,177.49,178.96,174.37,178.42,72504426
2023-10-30,0005.HK,181.23,184.43,176.69,179.95,67140428
2023-10-31,0005.HK,181.72,184.41,182.23,182.8,2287190
2023-11-01,0005.HK,182.75,185.43,178.9,184.28,18962108
2023-11-02,0005.HK,188.4,190.47,187.48,188.09,81926912
2023-11-03,0005.HK,194.67,196.81,191.65,195.29,59439199
2023-11-06,0005.HK,193.48,198.02,190.93,194.38,55652670
2023-11-07,0005.HK,193.57,195.53,193.52,193.82,76596973
2023-11-08,0005.HK,188.3,194.61,186.75,189.67,89560670
2023-11-09,0005.HK,194.25,195.56,187.43,193.09,27599058
2023-11-10,0005.HK,197.06,200.64,192.51,196.9,14796251
2023-11-13,0005.HK,195.68,200.11,191.61,194.37,17996249
2023-11-14,0005.HK,195.32,196.32,195.71,196.21,12657357
2023-11-15,0005.HK,200.14,201.48,197.16,199.84,65490618
2023-11-16,0005.HK,201.88,201.8,194.6,200.55,14551677
2023-11-17,0005.HK,204.77,208.47,200.69,203.14,60451169
2023-11-20,0005.HK,204.39,204.79,203.19,203.72,42458281
2023-11-21,0005.HK,199.57,203.15,194.32,200.04,17462053
2023-11-22,0005.HK,204.2,203.73,200.81,203.23,25289561
2023-11-23,0005.HK,206.85,209.1,203.3,207.31,72185544
2023-11-24,0005.HK,208.78,213.2,206.34,209.63,66703445
2023-11-27,0005.HK,208.48,211.22,201.81,206.67,4087130
2023-11-28,0005.HK,203.41,208.04,198.57,204.39,50140258
2023-11-29,0005.HK,201.35,202.98,199.58,200.96,11553227
2023-11-30,0005.HK,201.6,207.76,200.25,203.32,69151837
2023-12-01,0005.HK,206.96,208.76,206.11,207.23,80142172
2023-12-04,0005.HK,209.4,210.3,206.03,208.59,36736415
2023-12-05,0005.HK,209.85,217.4,206.1,211.58,95073498
2023-12-06,0005.HK,208.64,210.03,206.0,208.87,87421637
2023-12-07,0005.HK,210.34,214.43,207.22,209.36,69535379
2023-12-08,0005.HK,206.54,206.64,201.96,205.1,22899734
2023-12-11,0005.HK,204.75,208.51,196.93,202.77,70851942
2023-12-12,0005.HK,207.23,206.6,202.82,205.48,91633341
2023-12-13,0005.HK,202.88,209.07,200.47,204.79,92515223
2023-12-14,0005.HK,210.51,214.45,205.25,208.54,86342222
2023-12-15,0005.HK,211.72,212.28,209.19,210.27,4663755
2023-12-18,0005.HK,219.36,220.44,213.16,218.93,8618366
2023-12-19,0005.HK,220.15,221.52,217.47,219.29,7470277
2023-12-20,0005.HK,213.91,218.18,213.36,214.7,32556497
2023-12-21,0005.HK,215.18,220.34,212.16,214.64,24062988
2023-12-22,0005.HK,209.57,217.1,205.37,211.58,87595465
2023-12-25,0005.HK,214.85,220.77,213.42,214.72,99795476
2023-12-26,0005.HK,214.26,219.85,211.04,214.9,48507686
2023-12-27,0005.HK,215.05,220.12,214.4,214.5,77059067
2023-12-28,0005.HK,213.79,216.85,212.46,214.14,24638937
2023-12-29,0005.HK,214.88,218.87,211.93,216.56,30334503
2024-01-01,0005.HK,213.99,215.41,208.8,215.14,98784516
2024-01-02,0005.HK,217.37,220.2,215.6,217.69,22607134
2024-01-03,0005.HK,223.14,226.36,215.1,221.15,42340496
2024-01-04,0005.HK,221.72,226.29,216.54,220.06,61727727
2024-01-05,0005.HK,215.6,223.5,212.04,217.04,94330445
2024-01-08,0005.HK,216.06,219.34,212.27,215.42,23836311
2024-01-09,0005.HK,216.34,219.19,212.44,217.75,78178862
2024-01-10,0005.HK,217.45,218.48,217.9,218.1,88494802
2024-01-11,0005.HK,222.09,226.78,214.75,220.2,40227959
2024-01-12,0005.HK,227.24,230.79,220.33,226.07,81767479
2024-01-15,0005.HK,225.65,228.42,223.75,226.9,59701053
2024-01-16,0005.HK,224.55,224.81,223.37,224.19,27294404
2024-01-17,0005.HK,226.1,233.87,227.49,227.79,86350634
2024-01-18,0005.HK,229.43,232.5,224.94,228.01,9611689
2024-01-19,0005.HK,230.62,233.63,225.91,231.04,72618591
2024-01-22,0005.HK,234.77,235.36,229.29,234.78,68642617
2024-01-23,0005.HK,229.49,237.36,227.95,231.45,48578071
2024-01-24,0005.HK,236.74,242.14,231.67,236.3,68123599
2024-01-25,0005.HK,239.87,241.47,238.68,239.55,79945176
2024-01-26,0005.HK,238.18,243.49,236.49,237.43,71127934
2024-01-29,0005.HK,240.17,243.56,236.27,238.56,62242526
2024-01-30,0005.HK,240.74,240.67,238.68,239.53,87312509
2024-01-31,0005.HK,237.41,245.6,233.4,239.67,34176766
2024-02-01,0005.HK,244.03,244.02,241.52,242.85,83381283
2024-02-02,0005.HK,248.17,248.18,242.83,248.13,62075764
2024-02-05,0005.HK,250.6,252.91,242.7,248.21,63766564
2024-02-06,0005.HK,253.42,259.14,246.43,253.21,76341762
2024-02-07,0005.HK,257.23,264.44,251.94,257.02,63629567
2024-02-08,0005.HK,260.19,258.76,257.48,257.96,69100686
2024-02-09,0005.HK,256.46,261.03,256.43,258.7,7667709
2024-02-12,0005.HK,254.7,256.92,251.39,254.28,5528461
2024-02-13,0005.HK,250.45,255.86,248.37,248.6,75215531
2024-02-14,0005.HK,247.43,254.94,241.97,249.27,3190231
2024-02-15,0005.HK,245.25,249.73,244.42,246.12,68646242
2024-02-16,0005.HK,245.76,248.04,246.0,246.02,43191948
2024-02-19,0005.HK,243.86,245.3,242.6,244.1,69674540
2024-02-20,0005.HK,236.27,238.19,235.32,237.6,65796610
2024-02-21,0005.HK,237.84,245.73,232.83,238.92,43801145
2024-02-22,0005.HK,239.59,240.47,234.91,237.48,40361845
2024-02-23,0005.HK,236.74,244.83,233.6,237.81,89515821
2024-02-26,0005.HK,233.41,236.18,227.85,234.68,65515015
2024-02-27,0005.HK,232.93,239.6,229.85,233.54,96851149
2024-02-28,0005.HK,237.55,245.29,237.46,239.06,77321262
2024-02-29,0005.HK,241.22,245.04,236.88,239.57,13993242
2024-03-01,0005.HK,239.33,248.26,238.81,241.59,79857191
2024-03-04,0005.HK,236.94,237.87,230.81,237.03,68870963
2024-03-05,0005.HK,245.23,247.05,241.83,245.57,7356684
2024-03-06,0005.HK,252.83,254.45,250.88,252.41,31725833
2024-03-07,0005.HK,257.39,257.72,250.46,257.63,39856862
2024-03-08,0005.HK,260.78,265.58,255.34,260.88,69803206
2024-03-11,0005.HK,262.87,267.1,253.47,260.99,48570187
2024-03-12,0005.HK,260.7,264.68,262.67,262.77,15107058
2024-03-13,0005.HK,266.95,271.91,264.57,266.96,56405219
2024-03-14,0005.HK,261.9,267.08,260.67,264.49,9698783
2024-03-15,0005.HK,262.0,263.04,255.52,262.78,40295404
2024-03-18,0005.HK,254.37,260.62,253.87,256.26,80258083
2024-03-19,0005.HK,251.82,254.61,246.54,253.34,64006594
2024-03-20,0005.HK,260.78,259.95,259.21,259.7,6145157
2024-03-21,0005.HK,258.67,263.95,257.45,258.45,71694606
2024-03-22,0005.HK,258.83,259.89,255.84,257.27,8931369
2024-03-25,0005.HK,260.59,262.8,257.13,258.55,45779510
2024-03-26,0005.HK,253.08,256.34,250.32,252.35,9081368
2024-03-27,0005.HK,253.73,257.88,249.53,255.98,87306573
2024-03-28,0005.HK,259.43,268.53,255.7,260.89,19029673
2024-03-29,0005.HK,263.94,267.61,258.47,262.42,55980991
2023-04-14,0011.HK,370.17,376.94,359.91,370.02,75771771
2023-04-17,0011.HK,367.55,379.48,367.88,370.3,71165725
2023-04-18,0011.HK,367.6,374.42,362.84,371.04,36653504
2023-04-19,0011.HK,371.44,385.06,369.52,374.53,31246906
2023-04-20,0011.HK,368.1,373.81,364.44,368.86,52052263
2023-04-21,0011.HK,370.6,372.99,367.43,367.51,85291070
2023-04-24,0011.HK,356.3,368.39,348.89,358.39,81927521
2023-04-25,0011.HK,359.74,370.1,359.18,360.61,80786614
2023-04-26,0011.HK,366.29,367.51,354.14,364.18,40895037
2023-04-27,0011.HK,359.25,369.15,354.52,361.61,97585409
2023-04-28,0011.HK,371.27,379.36,360.59,370.22,86339433
2023-05-01,0011.HK,366.56,368.8,359.19,363.49,76716170
2023-05-02,0011.HK,353.26,360.94,349.16,355.58,15491025
2023-05-03,0011.HK,355.9,357.57,346.42,356.85,14381462
2023-05-04,0011.HK,365.88,368.5,362.15,362.52,43817289
2023-05-05,0011.HK,370.35,377.4,365.5,371.75,11460803
2023-05-08,0011.HK,370.31,371.66,365.05,369.27,65369908
2023-05-09,0011.HK,372.7,376.01,372.85,375.31,46520241
2023-05-10,0011.HK,371.86,386.37,364.57,375.17,69808487
2023-05-11,0011.HK,377.9,376.96,364.65,374.28,13017109
2023-05-12,0011.HK,377.82,380.46,375.81,379.31,7166888
2023-05-15,0011.HK,383.17,394.55,380.96,383.1,61906724
2023-05-16,0011.HK,372.67,381.12,368.81,374.12,43182255
2023-05-17,0011.HK,379.65,392.65,376.17,382.48,20267628
2023-05-18,0011.HK,389.44,395.32,388.45,390.47,73627823
2023-05-19,0011.HK,388.97,387.02,380.11,386.89,48653071
2023-05-22,0011.HK,385.52,392.3,386.46,389.26,14573860
2023-05-23,0011.HK,392.5,394.76,380.6,392.22,24878944
2023-05-24,0011.HK,397.58,403.31,393.36,393.84,49297550
2023-05-25,0011.HK,387.61,397.09,384.27,390.66,84591351
2023-05-26,0011.HK,383.7,392.47,376.94,386.81,33142916
2023-05-29,0011.HK,388.57,392.26,379.49,386.74,40053151
2023-05-30,0011.HK,393.3,402.89,392.34,393.62,95578133
2023-05-31,0011.HK,399.18,400.66,393.19,396.9,44322709
2023-06-01,0011.HK,392.84,404.74,383.39,394.78,90274437
2023-06-02,0011.HK,399.12,407.06,395.34,399.43,89616656
2023-06-05,0011.HK,383.48,389.48,371.73,382.44,52322394
2023-06-06,0011.HK,386.38,397.71,383.41,389.11,68342550
2023-06-07,0011.HK,375.55,379.99,375.8,379.03,8136349
2023-06-08,0011.HK,373.81,377.18,376.55,377.04,74013327
2023-06-09,0011.HK,369.7,374.09,363.55,370.79,77690699
2023-06-12,0011.HK,364.83,365.68,354.65,363.66,10741169
2023-06-13,0011.HK,371.25,378.55,361.91,370.07,3073551
2023-06-14,0011.HK,364.47,378.22,359.77,367.54,77153091
2023-06-15,0011.HK,370.45,373.76,360.72,369.53,13017255
2023-06-16,0011.HK,370.19,377.92,365.4,369.34,53499911
2023-06-19,0011.HK,368.65,382.87,369.81,372.06,29989381
2023-06-20,0011.HK,376.14,379.29,367.89,372.56,75059244
2023-06-21,0011.HK,367.74,372.66,355.91,365.47,34488483
2023-06-22,0011.HK,374.18,373.5,364.01,371.0,43775611
2023-06-23,0011.HK,367.88,375.1,367.7,368.33,24828578
2023-06-26,0011.HK,357.08,361.93,358.58,359.8,64935270
2023-06-27,0011.HK,356.03,366.31,356.07,357.56,84804919
2023-06-28,0011.HK,368.75,368.45,363.0,365.68,46593410
2023-06-29,0011.HK,372.95,378.51,367.93,370.42,65960021
2023-06-30,0011.HK,366.18,374.58,368.39,368.56,93801418
2023-07-03,0011.HK,363.35,368.51,357.15,366.7,72872011
2023-07-04,0011.HK,367.32,367.34,359.59,365.0,84229599
2023-07-05,0011.HK,378.2,382.57,371.82,376.45,51327694
2023-07-06,0011.HK,377.15,385.1,375.14,378.68,87458968
2023-07-07,0011.HK,382.24,389.9,371.59,381.2,46694189
2023-07-10,0011.HK,383.36,390.03,383.99,387.16,99189185
2023-07-11,0011.HK,385.51,393.31,386.3,388.63,21199527
2023-07-12,0011.HK,387.62,395.71,382.74,387.2,19614448
2023-07-13,0011.HK,385.02,395.21,380.97,386.13,1517731
2023-07-14,0011.HK,387.81,386.2,382.85,385.8,21045575
2023-07-17,0011.HK,389.19,389.91,377.87,385.66,15739916
2023-07-18,0011.HK,388.43,400.2,389.9,389.94,37462643
2023-07-19,0011.HK,389.92,398.78,388.99,390.33,59711389
2023-07-20,0011.HK,393.84,399.58,391.09,394.69,1318608
2023-07-21,0011.HK,395.24,398.5,391.86,394.29,10206073
2023-07-24,0011.HK,395.53,400.54,390.6,394.84,7420505
2023-07-25,0011.HK,383.7,389.54,378.03,383.08,60745278
2023-07-26,0011.HK,389.8,397.8,379.92,388.42,82679891
2023-07-27,0011.HK,390.51,391.42,379.49,390.52,34089593
2023-07-28,0011.HK,398.7,404.86,393.93,396.45,52209636
2023-07-31,0011.HK,378.85,380.98,371.66,379.3,43967917
2023-08-01,0011.HK,388.04,393.85,386.54,391.26,73830648
2023-08-02,0011.HK,394.41,401.45,386.33,390.52,42703557
2023-08-03,0011.HK,398.17,406.45,386.58,397.09,41580584
2023-08-04,0011.HK,393.63,395.48,385.95,390.97,59189166
2023-08-07,0011.HK,392.15,398.93,386.77,394.65,3593474
2023-08-08,0011.HK,384.79,398.18,380.02,388.49,52289797
2023-08-09,0011.HK,383.38,395.79,376.38,384.93,43536024
2023-08-10,0011.HK,399.01,406.06,386.39,396.06,80461687
2023-08-11,0011.HK,394.68,400.73,384.74,395.01,8979549
2023-08-14,0011.HK,398.18,402.28,389.68,396.37,73221314
2023-08-15,0011.HK,403.76,403.54,396.93,401.63,14400054
2023-08-16,0011.HK,406.73,412.67,404.17,404.69,7826843
2023-08-17,0011.HK,402.09,409.12,396.7,405.69,25450901
2023-08-18,0011.HK,411.3,411.04,399.08,407.99,76180427
2023-08-21,0011.HK,422.35,432.63,410.92,422.78,49269548
2023-08-22,0011.HK,418.56,423.29,421.31,422.5,14785291
2023-08-23,0011.HK,424.13,429.08,415.56,423.86,90083501
2023-08-24,0011.HK,426.5,439.2,430.15,430.62,56456650
2023-08-25,0011.HK,441.67,438.53,430.21,437.85,26755621
2023-08-28,0011.HK,447.79,458.85,435.79,445.73,65763285
2023-08-29,0011.HK,447.37,457.72,442.85,450.09,97228527
2023-08-30,0011.HK,443.42,447.1,430.71,442.46,15973436
2023-08-31,0011.HK,450.9,456.81,451.36,453.39,56561056
2023-09-01,0011.HK,445.9,447.22,443.82,445.69,72558616
2023-09-04,0011.HK,443.93,457.31,441.67,447.8,9090809
2023-09-05,0011.HK,442.45,449.26,431.74,442.82,94624116
2023-09-06,0011.HK,445.58,451.37,435.35,442.49,41764788
2023-09-07,0011.HK,446.1,452.03,432.25,444.76,51737762
2023-09-08,0011.HK,449.73,453.15,434.28,446.99,78841541
2023-09-11,0011.HK,447.22,453.4,438.63,449.91,33691291
2023-09-12,0011.HK,463.26,468.07,449.89,460.89,87905177
2023-09-13,0011.HK,467.64,476.24,453.52,464.12,45672695
2023-09-14,0011.HK,467.0,473.22,449.01,462.51,7455254
2023-09-15,0011.HK,468.95,482.09,462.8,469.29,50283438
2023-09-18,0011.HK,473.99,487.17,475.21,477.76,38661580
2023-09-19,0011.HK,471.64,482.63,457.85,469.06,52809633
2023-09-20,0011.HK,471.34,484.61,467.35,473.35,63823659
2023-09-21,0011.HK,481.28,484.11,477.21,478.43,53769857
2023-09-22,0011.HK,473.13,486.33,473.43,476.39,32359406
2023-09-25,0011.HK,489.79,499.53,475.76,486.31,98368625
2023-09-26,0011.HK,481.83,488.26,473.44,485.31,89504981
2023-09-27,0011.HK,487.83,488.54,478.16,486.33,61914504
2023-09-28,0011.HK,481.12,498.0,482.3,485.16,51015470
2023-09-29,0011.HK,489.91,491.45,485.14,485.37,67124079
2023-10-02,0011.HK,478.77,479.86,475.79,477.49,43321479
2023-10-03,0011.HK,464.11,467.44,461.1,467.27,53212562
2023-10-04,0011.HK,480.64,491.32,465.32,478.54,73418152
2023-10-05,0011.HK,469.6,484.72,469.99,472.55,54538581
2023-10-06,0011.HK,467.58,470.01,458.23,465.62,82342052
2023-10-09,0011.HK,450.31,455.51,443.84,450.67,82996675
2023-10-10,0011.HK,444.97,448.77,442.59,446.44,82771843
2023-10-11,0011.HK,434.18,440.82,426.41,437.67,35446199
2023-10-12,0011.HK,448.1,458.62,443.85,448.54,62471928
2023-10-13,0011.HK,454.08,466.92,448.2,455.42,97931388
2023-10-16,0011.HK,452.02,452.52,446.44,450.81,33185297
2023-10-17,0011.HK,467.87,467.11,454.6,466.14,85717988
2023-10-18,0011.HK,470.51,484.97,462.87,473.09,64645309
2023-10-19,0011.HK,472.71,478.13,461.07,470.88,22051793
2023-10-20,0011.HK,449.09,457.46,448.61,453.32,93892177
2023-10-23,0011.HK,472.47,479.77,466.02,468.99,66833505
2023-10-24,0011.HK,457.11,471.81,454.77,459.31,56483622
2023-10-25,0011.HK,444.58,454.08,440.81,448.07,86591797
2023-10-26,0011.HK,455.45,460.22,454.71,455.03,11961338
2023-10-27,0011.HK,471.04,472.37,468.09,471.77,91889578
2023-10-30,0011.HK,479.54,494.07,471.44,481.66,91166246
2023-10-31,0011.HK,488.3,497.56,471.52,485.83,96318225
2023-11-01,0011.HK,492.49,494.75,487.76,490.26,28870598
2023-11-02,0011.HK,500.34,498.32,492.22,496.64,54529149
2023-11-03,0011.HK,498.34,506.04,487.51,502.39,47408028
2023-11-06,0011.HK,502.61,513.67,493.97,504.61,30691992
2023-11-07,0011.HK,507.96,506.23,504.03,505.5,85374123
2023-11-08,0011.HK,506.82,514.12,503.5,505.13,19347687
2023-11-09,0011.HK,495.31,503.1,496.44,499.52,4432356
2023-11-10,0011.HK,498.34,512.37,495.36,497.51,52623123
2023-11-13,0011.HK,480.75,497.07,479.14,484.98,12378366
2023-11-14,0011.HK,480.43,497.58,479.55,484.36,83099393
2023-11-15,0011.HK,480.89,485.46,470.36,477.27,43612313
2023-11-16,0011.HK,467.75,475.59,466.28,469.47,60590419
2023-11-17,0011.HK,474.53,477.09,465.28,470.83,63499447
2023-11-20,0011.HK,481.64,490.89,469.76,480.75,51724013
2023-11-21,0011.HK,483.61,493.1,479.98,487.47,65570201
2023-11-22,0011.HK,480.38,484.67,472.42,476.09,51120339
2023-11-23,0011.HK,470.37,470.11,458.62,469.11,36823456
2023-11-24,0011.HK,475.57,476.48,463.55,475.83,28404616
2023-11-27,0011.HK,473.33,473.57,461.62,468.91,20413673
2023-11-28,0011.HK,468.46,471.36,456.3,467.42,52140690
2023-11-29,0011.HK,466.71,471.48,460.33,471.37,4635414
2023-11-30,0011.HK,460.98,469.35,461.87,464.62,57632815
2023-12-01,0011.HK,465.57,469.55,464.5,465.45,40304489
2023-12-04,0011.HK,452.46,464.67,444.1,456.23,35177091
2023-12-05,0011.HK,452.27,464.06,445.33,452.2,70523617
2023-12-06,0011.HK,458.94,456.26,444.58,454.46,40063031
2023-12-07,0011.HK,443.0,449.17,442.47,443.7,71689231
2023-12-08,0011.HK,447.68,450.86,444.35,446.72,95550990
2023-12-11,0011.HK,449.54,446.69,441.8,446.67,6062402
